Stock #,VIN,Year,Make,Model,Odometer,Certified,Photo Count,Color,Interior,Price,"AutoTrader.com
SRP","AutoTrader.com
VDP",MMR Wholesale,KBB Lending,Age,timestamp
L3751674,W1WV0FEY5L3751674,2020,Mercedes-Benz,Metris,5.0,No,2,Obsidian Black Metallic,black,82999.0,700.0,11.0,25900,34994,3,2021-09-02 05:03:52
L3754160,W1WV0FEY0L3754160,2020,Mercedes-Benz,Metris,5.0,No,11,Obsidian Black Metallic,black,82999.0,1311.0,34.0,25900,34994,3,2021-09-02 05:03:52
L3757495,W1WV0FEY2L3757495,2020,Mercedes-Benz,Metris,5.0,No,20,Obsidian Black Metallic,black,82999.0,754.0,40.0,25900,34994,3,2021-09-02 05:03:52
L3759707,W1WV0FEY1L3759707,2020,Mercedes-Benz,Metris,5.0,No,3,Obsidian Black Metallic,black,82999.0,764.0,16.0,25900,34994,3,2021-09-02 05:03:52
L3759169,W1WV0FEYXL3759169,2020,Mercedes-Benz,Metris,5.0,No,11,Obsidian Black Metallic,black,82999.0,820.0,17.0,25900,34994,3,2021-09-02 05:03:52
DU249310T,4T1BF1FK8DU249310,2013,Toyota,Camry,61343.0,No,9,Super White,Ash w/Fabric Seat Trim,14900.0,48.0,0.0,12000,13295,5,2021-09-02 05:03:52
JB110430C3,4JGDF6EE2JB110430,2018,Mercedes-Benz,GLS,20449.0,No,13,Selenite Gray,Black w/MB-Tex Upholstery,62885.0,39.0,1.0,54100,55508,6,2021-09-02 05:03:52
KS595780T,5TDJZRFH5KS595780,2019,Toyota,Highlander,18572.0,No,12,Blizzard Pearl,Black w/Leather Seat Trim,39855.0,19.0,0.0,38100,39669,6,2021-09-02 05:03:52
GR255903T,1GYS4CKJ4GR255903,2016,Cadillac,Escalade,21560.0,No,27,Black Raven,Kona Brown With Jet Black Accents Leather,60950.0,601.0,32.0,51200,58683,6,2021-09-02 05:03:52
F0P01236T,5UXKR0C58F0P01236,2015,BMW,X5,45778.0,No,9,Brown Metallic,Canberra Beige Leather,29805.0,843.0,76.0,25100,27844,7,2021-09-02 05:03:52
JA436786C3,WDDZF4JB8JA436786,2018,Mercedes-Benz,E-Class,16115.0,No,9,Diamond Silver Metallic,Macchiato Beige / Black w/MB-Tex Upholstery,41875.0,43.0,0.0,39700,40743,7,2021-09-02 05:03:52
LJ688300C3,WDCTG4EB4LJ688300,2020,Mercedes-Benz,GLA,7805.0,No,17,Polar White,Black w/MB-Tex Upholstery,37995.0,28.0,0.0,33200,32855,7,2021-09-02 05:03:52
FNT02402T,WBA3B1G56FNT02402,2015,BMW,3 Series,59061.0,No,9,Silver Metallic,Venetian Beige,18470.0,264.0,2.0,13800,16413,8,2021-09-02 05:03:52
JC503092T,1C4RJFBG0JC503092,2018,Jeep,Grand Cherokee,17443.0,No,9,Diamond Black Crystal Pearlcoat,Black Leather,35815.0,131.0,11.0,32600,34524,8,2021-09-02 05:03:52
JA472815P,WDC0G6EB0JF472815,2018,Mercedes-Benz,GLC,19911.0,No,4,Polar White,Black w/Red Stitching w/Leather Upholstery or Leather Upholstery,50955.0,269.0,20.0,47700,48496,8,2021-09-02 05:03:52
FR685946T,1GKS2CKJ4FR685946,2015,GMC,Yukon,66395.0,No,8,Summit White,Jet Black Leather,46815.0,53.0,0.0,36900,42953,8,2021-09-02 05:03:52
ER386766T,2C4RC1BG7ER386766,2014,Chrysler,Town & Country,60093.0,No,4,Maximum Steel Metallic Clearcoat,Black/Light Graystone Leather,15825.0,133.0,3.0,10050,14023,9,2021-09-02 05:03:52
KF632454P,WDC0G4KB3KF632454,2019,Mercedes-Benz,GLC,12504.0,No,16,Polar White,Black w/MB-Tex Upholstery,39890.0,88.0,1.0,38400,39710,9,2021-09-02 05:03:52
JM174683U,3TMCZ5ANXJM174683,2018,Toyota,Tacoma,39963.0,No,18,Midnight Black Metallic,Black Pkg/Gun Metal w/Leather Seat Trim,39780.0,109.0,0.0,29800,38291,10,2021-09-02 05:03:52
E0391330T,JTDKN3DU0E0391330,2014,Toyota,Prius,139276.0,No,7,Blizzard Pearl,Dark Gray w/Fabric Seat Trim,11535.0,1226.0,35.0,7750,8860,11,2021-09-02 05:03:52
